,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
343,juba,59,SS,1586373153,38,4.85,31.58,30.22,0.14
344,arrifes,20,PT,1586373153,82,37.77,-25.7,18.0,5.7
345,oranjestad,40,AW,1586373016,66,12.52,-70.03,31.0,10.8
346,acapulco,40,MX,1586372794,52,16.86,-99.89,32.0,2.1
347,aykhal,92,RU,1586373075,43,66.0,111.5,2.0,5.0
348,opuwo,29,NA,1586372819,25,-18.06,13.84,25.17,0.41
349,zhanaozen,0,KZ,1586373154,58,43.3,52.8,5.47,3.5
350,shakawe,37,BW,1586373154,31,-18.37,21.85,23.77,0.94
351,portland,40,US,1586373110,54,45.52,-122.68,15.56,2.6
352,guru har sahai,17,NG,1586373154,17,10.31,10.81,33.74,0.94
353,ndende,98,GA,1586373154,85,-2.4,11.36,24.57,1.25
354,puerto el triunfo,100,ES,1586373154,55,36.59,-6.23,19.0,5.7
355,san patricio,42,ML,1586372902,7,13.3,-4.9,39.06,1.36
356,villa alemana,46,IT,1586373155,64,46.2,10.13,16.11,2.1
357,astana,40,KZ,1586372901,85,51.18,71.45,-5.0,3.0
358,sibolga,99,ID,1586372855,79,1.74,98.78,25.42,1.16
359,kentau,100,KZ,1586373155,80,43.52,68.51,2.22,3.59
360,bonthe,48,SL,1586373155,69,7.53,-12.51,30.01,4.49
361,pahrump,63,US,1586372764,33,36.21,-115.98,20.56,12.9
362,surab,0,PK,1586373155,16,28.49,66.26,17.08,0.42
363,broome,90,US,1586372830,58,42.25,-75.83,13.89,5.1
364,belyy yar,39,RU,1586373156,77,55.84,32.94,5.16,2.15
365,hay river,47,GB,1586373156,58,52.07,-3.13,18.89,0.45
366,isangel,16,VU,1586372822,77,-19.55,169.27,24.83,7.73
367,kruisfontein,99,ZA,1586372854,69,-34.0,24.73,15.61,6.53
368,guerrero negro,60,MX,1586373156,11,17.67,-100.0,35.9,0.2
369,lakes entrance,1,US,1586373156,49,61.61,-149.31,-2.0,7.2
370,mehamn,90,NO,1586372862,94,71.04,27.85,1.0,3.1
371,sawakin,32,SD,1586372886,78,19.11,37.33,26.09,5.18
372,tuy hoa,20,PH,1586373156,69,14.02,120.73,28.0,1.0
373,madang,98,PG,1586373157,81,-5.22,145.8,25.65,1.3
374,kholmogory,40,RU,1586373157,60,64.22,41.66,5.0,2.0
